Size, Type, Time
500000, "Parallel", 0.118507
500000, "Built-in", 0.066194
800000, "Sequential", 0.079835
800000, "Parallel", 0.142599
800000, "Built-in", 0.110924
800000, "Sequential", 0.079936
800000, "Parallel", 0.160735
800000, "Built-in", 0.109096
900000, "Sequential", 0.090227
900000, "Parallel", 0.140907
900000, "Built-in", 0.123744
200000, "Sequential", 0.018036
200000, "Parallel", 0.090998
200000, "Built-in", 0.025080
900000, "Sequential", 0.090437
900000, "Parallel", 0.166400
900000, "Built-in", 0.123992
100000, "Sequential", 0.008715
100000, "Parallel", 0.093054
100000, "Built-in", 0.011782
600000, "Sequential", 0.058461
600000, "Parallel", 0.125293
600000, "Built-in", 0.080756
300000, "Sequential", 0.029062
300000, "Parallel", 0.196546
300000, "Built-in", 0.038833
900000, "Sequential", 0.090010
900000, "Parallel", 0.165245
900000, "Built-in", 0.125053
500000, "Sequential", 0.047904
500000, "Parallel", 0.109226
500000, "Built-in", 0.067098
400000, "Sequential", 0.038174
400000, "Parallel", 0.099757
400000, "Built-in", 0.052955
700000, "Sequential", 0.069446
700000, "Parallel", 0.129153
700000, "Built-in", 0.108230
100000, "Sequential", 0.008668
100000, "Parallel", 0.127583
100000, "Built-in", 0.011781
800000, "Sequential", 0.080624
800000, "Parallel", 0.141135
800000, "Built-in", 0.108895
500000, "Sequential", 0.049282
500000, "Parallel", 0.114808
500000, "Built-in", 0.070707
200000, "Sequential", 0.018008
200000, "Parallel", 0.096297
200000, "Built-in", 0.025021
700000, "Sequential", 0.069047
700000, "Parallel", 0.123708
700000, "Built-in", 0.096216
300000, "Sequential", 0.028224
300000, "Parallel", 0.113878
300000, "Built-in", 0.039381
800000, "Sequential", 0.079925
800000, "Parallel", 0.141886
800000, "Built-in", 0.110797
1000000, "Sequential", 0.100689
1000000, "Parallel", 0.169145
1000000, "Built-in", 0.139611
300000, "Sequential", 0.028321
300000, "Parallel", 0.110083
300000, "Built-in", 0.039322
700000, "Sequential", 0.069287
700000, "Parallel", 0.128613
700000, "Built-in", 0.095882
900000, "Sequential", 0.091228
900000, "Parallel", 0.160812
900000, "Built-in", 0.127122
600000, "Sequential", 0.058566
600000, "Parallel", 0.111409
600000, "Built-in", 0.082010
300000, "Sequential", 0.027909
300000, "Parallel", 0.107891
300000, "Built-in", 0.038839
700000, "Sequential", 0.069679
700000, "Parallel", 0.128132
700000, "Built-in", 0.097126
500000, "Sequential", 0.049796
500000, "Parallel", 0.122653
500000, "Built-in", 0.067484
700000, "Sequential", 0.071062
700000, "Parallel", 0.130635
700000, "Built-in", 0.096001
800000, "Sequential", 0.079368
800000, "Parallel", 0.140796
800000, "Built-in", 0.110627
500000, "Sequential", 0.047947
500000, "Parallel", 0.093413
500000, "Built-in", 0.066399
1000000, "Sequential", 0.100969
1000000, "Parallel", 0.181554
1000000, "Built-in", 0.140434
800000, "Sequential", 0.079160
800000, "Parallel", 0.145205
800000, "Built-in", 0.110539
100000, "Sequential", 0.008663
100000, "Parallel", 0.088796
100000, "Built-in", 0.011788
900000, "Sequential", 0.090953
900000, "Parallel", 0.163650
900000, "Built-in", 0.124460
500000, "Sequential", 0.049050
500000, "Parallel", 0.099706
500000, "Built-in", 0.066681
300000, "Sequential", 0.028264
300000, "Parallel", 0.090503
300000, "Built-in", 0.038676
700000, "Sequential", 0.069774
700000, "Parallel", 0.136620
700000, "Built-in", 0.096009
1000000, "Sequential", 0.101666
1000000, "Parallel", 0.193212
1000000, "Built-in", 0.138627
700000, "Sequential", 0.070203
700000, "Parallel", 0.153331
700000, "Built-in", 0.095996
1000000, "Sequential", 0.101113
1000000, "Parallel", 0.191644
1000000, "Built-in", 0.138472
200000, "Sequential", 0.018414
200000, "Parallel", 0.098267
200000, "Built-in", 0.024706
400000, "Sequential", 0.038747
400000, "Parallel", 0.093375
400000, "Built-in", 0.053793
600000, "Sequential", 0.058439
600000, "Parallel", 0.119322
600000, "Built-in", 0.081212
200000, "Sequential", 0.018162
200000, "Parallel", 0.090259
200000, "Built-in", 0.025518
1000000, "Sequential", 0.101668
1000000, "Parallel", 0.178576
1000000, "Built-in", 0.138813
300000, "Sequential", 0.027817
300000, "Parallel", 0.100436
300000, "Built-in", 0.039057
1000000, "Sequential", 0.100384
