Size, Type, Time
50000000, "Sequential", 5.580767
50000000, "Parallel", 7.206429
50000000, "Built-in", 7.311323
40000000, "Sequential", 4.350753
40000000, "Parallel", 5.898070
40000000, "Built-in", 5.728448
50000000, "Sequential", 5.585065
50000000, "Parallel", 6.892705
50000000, "Built-in", 7.652431
100000000, "Sequential", 11.484797
100000000, "Parallel", 15.303060
100000000, "Built-in", 15.473027
20000000, "Sequential", 2.107211
20000000, "Parallel", 2.869092
20000000, "Built-in", 2.790816
20000000, "Sequential", 2.110146
20000000, "Parallel", 2.995984
20000000, "Built-in", 2.755393
80000000, "Sequential", 9.051578
80000000, "Parallel", 11.760479
80000000, "Built-in", 12.024030
40000000, "Sequential", 4.394885
40000000, "Parallel", 5.803460
40000000, "Built-in", 5.799702
80000000, "Sequential", 9.166882
80000000, "Parallel", 11.699795
80000000, "Built-in", 12.143004
70000000, "Sequential", 7.910661
70000000, "Parallel", 10.112106
70000000, "Built-in", 10.530729
10000000, "Sequential", 1.026934
10000000, "Parallel", 1.288732
10000000, "Built-in", 1.335153
90000000, "Sequential", 10.207975
90000000, "Parallel", 12.362376
90000000, "Built-in", 13.847114
100000000, "Sequential", 11.621660
100000000, "Parallel", 14.762301
100000000, "Built-in", 15.486733
60000000, "Sequential", 6.837275
60000000, "Parallel", 9.212281
60000000, "Built-in", 8.878442
50000000, "Sequential", 5.609424
50000000, "Parallel", 7.250436
50000000, "Built-in", 7.318065
50000000, "Sequential", 5.627004
50000000, "Parallel", 7.293094
50000000, "Built-in", 7.299351
40000000, "Sequential", 4.413350
40000000, "Parallel", 5.969953
40000000, "Built-in", 5.741458
40000000, "Sequential", 4.344091
40000000, "Parallel", 5.817887
40000000, "Built-in", 5.740624
40000000, "Sequential", 4.349276
40000000, "Parallel", 5.674286
40000000, "Built-in", 5.738992
20000000, "Sequential", 2.164701
20000000, "Parallel", 2.899050
20000000, "Built-in", 2.759108
100000000, "Sequential", 11.595393
100000000, "Parallel", 14.560030
100000000, "Built-in", 15.453797
50000000, "Sequential", 5.554351
50000000, "Parallel", 6.570565
50000000, "Built-in", 7.254694
30000000, "Sequential", 3.260766
30000000, "Parallel", 4.495225
30000000, "Built-in", 4.312271
10000000, "Sequential", 1.043696
10000000, "Parallel", 1.407195
10000000, "Built-in", 1.345808
30000000, "Sequential", 3.272026
30000000, "Parallel", 4.141182
30000000, "Built-in", 4.289295
30000000, "Sequential", 3.236206
30000000, "Parallel", 4.304917
30000000, "Built-in", 4.260483
60000000, "Sequential", 6.771601
60000000, "Parallel", 8.315940
60000000, "Built-in", 8.986040
30000000, "Sequential", 3.265930
30000000, "Parallel", 4.423885
30000000, "Built-in", 4.281903
30000000, "Sequential", 3.293229
30000000, "Parallel", 4.222712
30000000, "Built-in", 4.269859
60000000, "Sequential", 6.676680
60000000, "Parallel", 8.520251
60000000, "Built-in", 8.917866
90000000, "Sequential", 10.357457
90000000, "Parallel", 13.175043
90000000, "Built-in", 13.701726
40000000, "Sequential", 4.373043
40000000, "Parallel", 5.791824
40000000, "Built-in", 5.765750
50000000, "Sequential", 5.544399
50000000, "Parallel", 7.479968
50000000, "Built-in", 7.275638
40000000, "Sequential", 4.437796
40000000, "Parallel", 5.928593
40000000, "Built-in", 5.816701
70000000, "Sequential", 7.916522
70000000, "Parallel", 9.896187
70000000, "Built-in", 10.547580
20000000, "Sequential", 2.135815
20000000, "Parallel", 3.004227
20000000, "Built-in", 2.787244
30000000, "Sequential", 3.214328
30000000, "Parallel", 4.393149
30000000, "Built-in", 4.256427
10000000, "Sequential", 1.033155
10000000, "Parallel", 1.435193
10000000, "Built-in", 1.327213
60000000, "Sequential", 6.759849
60000000, "Parallel", 8.794793
60000000, "Built-in", 8.897631
70000000, "Sequential", 7.892042
70000000, "Parallel", 10.557117
70000000, "Built-in", 10.587229
90000000, "Sequential", 10.283029
90000000, "Parallel", 13.554181
90000000, "Built-in", 13.681644
70000000, "Sequential", 7.946717
70000000, "Parallel", 10.198604
70000000, "Built-in", 10.721778
50000000, "Sequential", 5.609172
50000000, "Parallel", 7.093538
50000000, "Built-in", 7.468742
20000000, "Sequential", 2.139812
20000000, "Parallel", 2.792415
20000000, "Built-in", 2.908726
90000000, "Sequential", 10.414207
90000000, "Parallel", 13.283851
90000000, "Built-in", 13.777503
90000000, "Sequential", 10.262840
90000000, "Parallel", 12.932081
90000000, "Built-in", 13.783044
80000000, "Sequential", 8.969281
80000000, "Parallel", 11.341755
80000000, "Built-in", 12.061298
20000000, "Sequential", 2.100462
20000000, "Parallel", 2.870836
20000000, "Built-in", 2.810387
40000000, "Sequential", 4.527080
40000000, "Parallel", 5.683508
40000000, "Built-in", 5.941588
70000000, "Sequential", 7.899995
70000000, "Parallel", 10.373729
70000000, "Built-in", 10.582558
